PMID,Abstract
39920888,The aim of this study was to determine the diagnostic accuracy of the faecal immunochemical test (FIT) for colorectal cancer (CRC) in symptomatic patients with different levels of anaemia severity or the presence of iron deficiency.
39920741,Colorectal cancer (CRC) ranks among the frequently occurring malignant neoplasms affecting the gastrointestinal tract. This study aimed to explore JAK-STAT signaling pathway related genes in CRC and establish a new prognostic model.
39920596,The aim of the study was to explore long-term experiences of transanal irrigation (TAI) in patients with major low anterior resection syndrome (LARS).
39920559,Cost-effectiveness analysis (CEA) of biomarkers is challenging due to the indirect impact on health outcomes and the lack of sufficient fit-for-purpose data. Hands-on guidance is lacking.
39920526,"The high occurrence and death rates of colorectal cancer (CRC) make it a major health concern. Recent studies have identified NOP2/Sun RNA methyltransferase family member 2 (NSUN2), an RNA methyltransferase, as a key regulator in various tumor types. However, how exactly NSUN2-mediated m5C alteration affects CRC is still a mystery. This study seeks to understand how NSUN2 contributes to the growth and death of colorectal cancer cells. New tissue samples were taken in order to investigate NSUN2 expression in CRC. In vitro tests were performed to evaluate NSUN2's function. We used m5C-methylated-RNA immunoprecipitation and RNA stability experiments to find out how NSUN2 works on Solute carrier family 7 member 11 (SLC7A11, also called xCT). Downregulation of NSUN2 limits CRC cell growth and induces ferroptosis, as we show that NSUN2 was substantially expressed in CRC. In terms of the molecular mechanism, NSUN2 controls the translation and stability of SLC7A11 mRNA by regulating its m5C methylation. Functional tests show that SLC7A11 compensates for the NSUN2 knockdown-induced decrease in cell proliferation. Additionally, SLC7A11 overexpression restores ferroptosis to CRC cells after NSUN2 knockdown. These findings emphasize NSUN2's crucial role in modulating colorectal cancer cell growth and survival via SLC7A11, pointing to promising new therapeutic targets."
39920524,"We aimed to create a NK cell marker genes-based signature to predict immunotherapy response and prognosis in colorectal cancer. We integrated scRNA-seq data from four Gene Expression Omnibus (GEO) samples and performed Weighted gene correlation network analysis (WGCNA) based on 587 the Cancer Genome Atlas (TCGA) colorectal cancer samples to uncover NK cell-related genes. We identified 1080 NK cell-related core genes and 276 NK cell-related feature genes based on WGCNA and clustering and annotation of scRNA-seq data, respectively. Six key NK cell-related prognostic signature genes were obtained by univariate and LASSO regression analyses, including ADAM8, CTSD, CCL4, IL2RB, TTC38, and PLEK. Two validation cohorts from the GEO dataset, comprising 124 and 201 samples respectively, were used. The signature was significantly associated with overall survival and correlated with immune cell infiltration, immune and stromal scores, and immune checkpoint genes. Furthermore, the signature was associated with the homologous recombination deficiency (HRD) and T-cell receptor (TCR) scores. In conclusion, our study proposes a new prognostic signature based on NK cell marker genes, which may serve as a potential tool to predict overall survival and immunotherapy response for CRC patients."
39920491,"Germline pathogenic variants of the RPS20 (ribosomal protein S20) gene are suspected to be involved in the predisposition to familial colorectal cancer (CRC) with no DNA mismatch repair deficiency. RPS20 pathogenic variants are very rare with only five reported cases in the literature. We report in this work the retrospective germline analysis of RPS20 for 1035 consecutive patients with a personal and/or familial history suggestive of hereditary predisposition to CRC. Within this series, a pathogenic variant in known CRC genes was found in 15% of cases and we describe one RPS20 loss-of-function variant (NM_001146227.1:c.115_116del, p.(Leu39Aspfs*33)). This frameshift is the first reported de novo variant in CRC, it was identified in in a female patient diagnosed with rectal cancer at the age of 35, 11 adenomatous polyps in 5 years and breast cancer at the age of 43. RPS20 has an intriguing role in oncogenesis, acting as an oncogene or tumour suppressor depending on the context, and is also involved in Diamond-Blackfan anemia via gain of function or dominant negative variants. This is therefore a complex gene for genetic counselling and, given the rarity of RPS20 pathogenic variants, we emphasise the need to collect data to clarify the phenotypic spectrum of RPS20-associated cancers and thus improve management."
39920335,"Cancer driver mutations are defined by their high prevalence in cancers and presumed rarity in normal tissues. However, recent studies show that positive selection in normal epithelia can increase the prevalence of some cancer drivers. To determine their true cancer-driving potential, it is essential to evaluate how frequent these mutations are in normal tissues and what are their phenotypes. Here, we explore the bioavailability of somatic variants by quantifying age-related mutational burdens in normal human colonic epithelium using immunodetection in FFPE samples (N = 181 patients). Positive selection of variants of tumour suppressor genes PTEN and ARID1A associates with monoallelic gene loss as confirmed by CRISPR/Cas9 mutagenesis and changes in their downstream effectors. Comparison of the mutational burden in normal tissue and colorectal cancers allows quantification of cancer driver potency based on relative representation. Additionally, immune exclusion, a cancer hallmark feature, is observed within ARID1A-deficient clones in histologically normal tissue. The behaviour resulting from haploinsufficiency of PTEN and ARID1A demonstrates how somatic mosaicism of tumour suppressors arises and can predispose to cancer initiation."
39921843,"Influenza A virus (IAV) remains a significant public health concern due to its annual epidemics and potential for global pandemics. Despite the availability of countermeasures such as vaccines and antiviral treatments, their effectiveness is often questioned due to the emergence of novel strains with antiviral resistance and the variable efficacy of influenza vaccines compared to other vaccines. Traditionally, influenza vaccination strategies have focused on matrix, neuraminidase, and nucleoproteins. In this study, considering the crucial roles of HA and RdRp (PA, PB1, and PB2) of Influenza A, a reverse vaccinology approach is put forth in designing a possible promising antigenic protein toward the development of vaccines against H1N1 viruses. With the development of immunoinformatics approach, one can design/construct potential candidates for vaccine formulation against IAV with the epitope segments identified based on B- and T-cell recognition linked via adjuvants like EAAAK, GPGPG, and AAY linkers. Computational assessments of physicochemical properties, antigenicity, immunogenicity, allergenicity, and toxicity predictions, conducted to evaluate the potential of designed vaccine construct, indicated high antigenicity and potential interactions with immune receptors. Molecular docking of the vaccine construct with human immune receptors (MHCI, MHCII, TLR4, TLR7, and TLR8) followed by molecular dynamics simulations demonstrated stable dynamics with strong binding affinity. The computational immune response modeling with multiple dosages suggested significant immune activation by this construct against IAV. In essence, these findings highlight the potential immune property of the vaccine construct, and put forth the need of thorough preclinical assessments in transforming this construct as a vaccine against the challenging IAV pathogens."
39921763,"Neuroinflammation and abnormal energy metabolism have been shown to significantly contribute to the progression of Alzheimer's disease (AD). Adenylate kinase 5 (AK5), an enzyme predominantly expressed in the brain regulates ATP metabolism, has an unclear role in energy metabolism and neuroinflammation in AD."
39921750,"Congenital mesoblastic nephromas (CMN) are histologically classified into classical, cellular, and mixed subtypes. Most cellular CMNs harbor ETV6-NTRK3 gene fusions, and classic and mixed CMNs harbor EGFR internal tandem duplications (EGFR-ITDs). Classic CMNs are considered benign, whereas recurrent or metastatic diseases occur in the cellular subtypes. Direct identification of mutations is desirable for an accurate diagnosis. However, molecular genetic analyses cannot be performed in a number of histopathology laboratories. This study aimed to investigate a surrogate marker for the accurate histological classification of CMN."
39921733,"Protodioscin (PRO) is a furostanol saponin with antioxidant and anti-inflammatory properties. However, there is no proof against nociception and diarrhea. The study aims to investigate the antinociceptive and antidiarrheal effects of PRO, comparing its efficacy with diclofenac sodium (DFS) and loperamide (LOP) using in vivo and in silico methods. Antinociceptive activity was evaluated using the acetic acid-induced writhing and formalin-induced paw licking tests, and antidiarrheal effects were assessed via castor oil-induced diarrhea in mice. Mice were divided into groups receiving PRO (2.5 and 10 mg/kg, p.o.), DFS (25 mg/kg, p.o.), LOP (3 mg/kg, p.o.), or combinations. Molecular docking studies were conducted on COX-1, COX-2 enzymes, and the Mu-opioid receptor (MOR), with toxicity predictions performed for safety profiling. In vivo results demonstrated that PRO significantly (p < 0.05) reduced pain and diarrhea in animals. PRO at 10 mg/kg, showed comparable efficacy to DFS and LOP (25 and 3 mg/kg) in both models. Molecular docking revealed that PRO had stronger binding affinities with COX-1 (‒10.0 kcal/mol), COX-2 (‒9.6 kcal/mol) enzymes, and MOR (‒7.7 kcal/mol) compared to standard drugs. Toxicity predictions indicate PRO is relatively safe in some toxicity parameters. PRO exhibits significant antinociceptive and antidiarrheal activities comparable to DFS and LOP, making it a promising natural alternative for managing pain and diarrhea. Additional clinical trials and pharmacokinetic assessments are required to evaluate its long-term safety for use."
39921600,"Mitochondrial function relies on the coordinated interactions between genes in the mitochondrial (mtDNA) and nuclear genomes. Imperfect interactions following mitonuclear incompatibility may lead to reduced fitness. MtDNA introgressions across species and populations are common and well documented. Various strategies may be expected to reconcile mitonuclear incompatibility in hybrids or admixed individuals. African admixed cattle (Bos taurus × B. indicus) show sex-biased admixture, with taurine (B. taurus) mtDNA and a nuclear genome predominantly of humped zebu (B. indicus). Here, we leveraged local ancestry inference approaches to identify the ancestry and distribution patterns of nuclear functional genes associated with the mitochondrial oxidative phosphorylation process in the genomes of African admixed cattle. We show that most of the nuclear genes involved in mitonuclear interactions are under selection and of humped zebu ancestry. Variation in mtDNA copy number (mtDNA-CN) may have contributed to the recovery of optimal mitochondrial function following admixture with the regulation of gene expression, alleviating or nullifying mitochondrial dysfunction. Interestingly, some nuclear mitochondrial genes with enrichment in taurine ancestry may have originated from ancient African aurochs (B. primigenius africanus) introgression. They may have contributed to the local adaptation of African cattle to pathogen burdens. Our study provides further support and new evidence showing that the successful settlement of cattle across the continent was a complex mechanism involving adaptive introgression, mtDNA-CN variation, regulation of gene expression, and selection of ancestral mitochondria-related genes."
39921562,"RNA secondary (2D) structure visualization is an essential tool for understanding RNA function. R2DT is a software package designed to visualize RNA 2D structures in consistent, recognizable, and reproducible layouts. The latest release, R2DT 2.0, introduces multiple significant features, including the ability to display position-specific information, such as single nucleotide polymorphisms or SHAPE reactivities. It also offers a new template-free mode allowing visualization of RNAs without pre-existing templates, alongside a constrained folding mode and support for animated visualizations. Users can interactively modify R2DT diagrams, either manually or using natural language prompts, to generate new templates or create publication-quality images. Additionally, R2DT features faster performance, an expanded template library, and a growing collection of compatible tools and utilities. Already integrated into multiple biological databases, R2DT has evolved into a comprehensive platform for RNA 2D visualization, accessible at https://r2dt.bio."
39921490,"Vertebrate embryogenesis requires the precisely timed specification of 3 germ cell layers- ectoderm, mesoderm, and endoderm- which give rise to tissues and organs in the developing organism. The tumor suppressor gene NF2, moesin-ezrin-radixin like (MERLIN) tumor suppressor (Nf2) is expressed in all 3 germ layers during mouse development and its homozygous deletion causes embryonic lethality. People with heterozygous NF2 mutations typically develop Schwann cell tumors, especially vestibular schwannoma, but the specific role of NF2 in human embryonic development is unclear. Here, human induced pluripotent stem cells (hiPSCs) are used to demonstrate that NF2 is essential for endoderm specification and formation in humans. Although endoderm differentiation is not impaired in hiPSCs with heterozygous NF2 mutation, NF2 knockout (NF2-/-) abolished the capacity to form endoderm in vitro, confirmed by loss of expression of endoderm-related genes and proteins, or teratomas in vivo. This defect is mediated by the nuclear translocation of yes-associated protein 1 (YAP1), a transcription co-activator regulating lineage fate via the Hippo pathway and subsequent YAP1-mediated shutdown of Activin/Nodal signaling. Endoderm formation can be rescued via YAP1 knockdown or forced re-expression of NF2 in NF2-/- cells. Taken together, the essential role of NF2 during endoderm specification in human embryogenesis as a regulator of YAP1 is reported."
39921431,"Tailored droplet generation is crucial for droplet microfluidics that involve samples of varying sizes. However, the absence of precise predictive models forces droplet platforms to rely on empiricism derived from extensive experiments, underscoring the need for comprehensive modeling analysis. To address this, a novel customized assembled centrifugal step emulsifier (CASE) is presented by incorporating a ""jigsaw puzzles"" design to efficiently acquire large-scale experimental data. Numerical simulations are utilized to analyze fluid configurations during step emulsification, identifying a key connection tube that determines droplet size. By training and verifying with the experimental and simulation datasets, a comprehensive theoretical model is established that allows for the preliminary design of the droplet size and generation frequency with an average error rate of 4.8%, successfully filling a critical gap in existing field. This predictive model empowers the CASE to achieve all-in-one functionality, including droplet pre-design, generation, manipulation, and on-site detection. As a proof of concept, multiscale sample analysis ranging from nanoscale nucleic acids to microscale bacteria and 3D cell spheroids is realized in the CASE. In summary, this platform offers valuable guidance for customized droplet generation by centrifugal step emulsifiers and promotes the adoption of droplet microfluidics in biochemical assays."
39921398,"Viruses exert a profound influence on both human health and the global ecosystem, yet they remain largely unexplored. Precise taxonomic classification of viral sequences is essential for discovering novel viruses, elucidating their functions, and assessing their implications for public health and environmental monitoring. Traditional taxonomy methods based on genome references are limited by the vast number of unexplored viruses, rapid mutation rates, and high genetic diversity. Additionally, highly imbalanced species distribution and significant variances in inter-species genomic distances across taxonomic units pose challenges to classifier training. Conceptualizing genomic sequences as sentences in a natural language, large language models provide novel approaches for extracting intrinsic viral genome characteristics. In this study, we introduce ViTax, a virus taxonomy classification tool powered by HyenaDNA, a large language foundation model for long-range genomic sequences at single nucleotide resolution. ViTax integrates supervised prototypical contrastive learning to address the highly imbalanced distributions across various taxonomic clades and demonstrates superior performance to current leading methods in virus taxonomy, particularly significant for long sequences. Moreover, ViTax designs a belief mapping tree using the Lowest Common Ancestor algorithm to adaptively assign a sequence to the lowest taxonomy clade with confidence. For the open-set problem, where sequences belong to novel and unexplored genera, ViTax can adaptively assign them to a higher level of known taxonomy with outstanding performance. These capabilities make ViTax a robust tool for advancing the accuracy and reliability of viral taxonomy classification. The code is available at https://github.com/Ying-Lab/ViTax."
39921383,"This study aims to identify the risk factors associated with clinical outcomes and the proteomic changes in organs related to fatal SARS-CoV-2 infection within the super-elderly population. This retrospective analysis included all elderly individuals with COVID-19 admitted to the Second Medical Center of PLA General Hospital from December 2022 to January 2023. The follow-up period ended on March 30, 2023. During this time, epidemiological, demographic, laboratory, and outcome data were analyzed descriptively. Proteomic sequencing was performed on super-elderly patients who died from COVID-19 at different stages of the disease. A total of 352 elderly COVID-19 patients, with a mean age of 89.84 ± 8.54 years, were included in this study. During a median follow-up period of 98 days, 79 patients died. Deceased patients were older and more likely to have cardiovascular and cerebrovascular diseases, with a lower prevalence of lipid-lowering therapy. The number of deaths in the acute and post-acute phases were 34 and 45, respectively. Proteomics data suggest that the immune systems of patients who died in the acute phase underwent a more rapid and severe onslaught. Patients in the post-acute phase showed higher levels of viral genome replication and a more robust immune response. However, the over-activation of the immune system led to systemic organ dysfunction. Effective management of comorbidities may improve the prognosis of COVID-19 in super-elderly patients. The continuous replication of the SARS-CoV-2 virus and its subsequent impact on the immune system are critical determinants of survival time in this demographic."
39921370,"In patients with phyllodes tumors of the breast, the presence of mediator of RNA polymerase II transcription subunit 12 homolog mutations (MED12m) and a history of previous fibroadenoma may predict better outcomes. To aid in the prognostication of malignant phyllodes tumors of the breast (B-MPT), we assessed the prognostic value of fibroadenoma-like areas (supposed to have stemmed from a pre-existing fibroadenoma) and MED12m, in patients with resected primary B-MPTs."
39921335,"A variety of classical machine learning (ML) approaches has been developed over the past decade aiming to individualize drug dosages based on measured plasma concentrations. However, the interpretability of these models is challenging as they do not incorporate information on pharmacokinetic (PK) drug disposition. In this work we compare drug plasma concentraton predictions of well-known population PK (PopPK) modeling with classical machine learning models and a newly proposed scientific machine learning (MMPK-SciML) framework. MMPK-SciML allows to estimate PopPK parameters and their inter-individual variability (IIV) using multimodal covariate data of each patient and does not require assumptions about the underlying covariate relationships. A dataset of 541 fluorouracil (5FU) plasma concentrations as example for an intravenously administered drug and a dataset of 302 sunitinib and its active metabolite concentrations each as example for an orally administered drug were used for analysis. Whereas classical ML models were not able to describe the data sufficiently, MMPK-SciML allowed us to obtain accurate drug plasma concentration predictions for test patients. In case of 5FU, goodness-of-fit shows that the MMPK-SciML approach predicts drug plasma concentrations more accurately than PopPK models. For sunitinib, we observed slightly less accurate drug concentration predictions compared to PopPK. Overall, MMPK-SciML has shown promising results and should therefore be further investigated as a valuable alternative to classical PopPK modeling, provided there is sufficient training data."
39921258,"Tetralogy of Fallot (TOF) is the most common cyanotic heart defect in neonates. While there is compelling evidence of genetic contribution to the etiology of TOF, the contribution of noncoding variants to the development of the defect remains unexplored. Potentially damaging noncoding de novo variants (NC DNVs) were detected from 141 Chinese nonsyndromic TOF trios (CHN-TOF) and compared to those detected in the Pediatric Cardiac Genomics Consortium (PCGC). Bioinformatic analyses on noncoding and previously detected coding DNVs were performed to identify developmental pathways affected in TOF. Chinese but not PCGC TOF patients showed a notably increased burden of putative damaging NC DNVs (n=249). In Chinese, NC and coding DNVs were predominantly associated with cardiomyocyte differentiation and with chamber/valve/aorta development, respectively, producing a combined enrichment in NOTCH signaling (P=1.1x10-6) and outflow tract morphogenesis (P=2.2x10-5). Genes with NC DNVs (e.g., EFNB2, HEY2 and PITX2) interacted with NOTCH1 and FLT4 in a tight STRING protein-protein interaction (PPI) network. During the in vitro cardiac differentiation process, these noncoding candidate genes, which harbored potentially damaging regulatory NC DNVs, exhibited co-expression with NOTCH signaling genes and demonstrated dysregulated gene expression at various differentiation stages following NOTCH1 downregulation. In summary, our findings highlight a significant contribution of NC DNVs to TOF and suggest the presence of population genetic heterogeneity. Integrative analyses implicate dysregulation of NOTCH signaling, with converging influences from both coding and noncoding variants, in TOF within the Chinese population."
39921257,"High resolution crystal structure of stimulatory peptide-MHC (pMHC) ligands bound to TCR revealed different conformation of the two peptides at positions P6 and V7 compared to the conformation of the same peptides presented by unliganded MHC. Supercomputer simulation and well-tempered metadynamics approach revealed several meta-stable non-canonical TCR-pMHC interactions that depend on the conformation of the MHC-bound peptides. The diversity of meta-stable states was significantly more represented in signaling TCR-pMHC complex. These findings suggest that TCR-pMHC recognition can be informed by a conformation of peptide presented by MHC that notably influences the orientation of TCR recognizing pMHC ligand. It appears that TCR bound to stimulatory pMHC possess a significantly higher degree of freedom to assume various metastable TCR orientations which are distinct from canonical docking. In contrast, TCR interacting with non-stimulatory pMHC ligand revealed markedly less meta-stable non-canonical interactions and disengaged from the pMHC. This suggests that productive TCR-mediated signaling may depend on non-canonical interactions between TCR and pMHC, either facilitating early recognition events or providing new contacts for catch-bond formation. Our discovery can inform future attempts to simulate the catch-bond formation mechanism in TCR-pMHC recognition, allowing the formation of new bonds mediating alternative peptide presentation."
39921242,"Cervical cancer is one of the cancers commonly found in the female reproductive system and is associated with obesity. However, the exact connection mechanisms remain unclear. Screening of key therapeutic targets and natural products with good anti-tumor activity has become a crucial strategy for cancer therapy. Cryptotanshinone has anti-inflammatory and anti-cancer properties. Key therapeutic targets and related low-toxicity natural active ingredients were identified as crucial components in cancer treatment strategies. Therefore, network pharmacology and cellular biology techniques were used to screen and validate key targets in obesity-related cervical cancer and to elucidate the mechanisms. The results indicated that C-X-C motif chemokine ligand 8 (CXCL8) might be modulated by cryptotanshinone. The knockdown of CXCL8 significantly reduced Hela cell viability to 15.29 ± 4.59% compared with the control group (p<0.01), which consequently inhibited both cell proliferation and lipid droplet formation. Moreover, cryptotanshinone (20, 40, and 80 μM) significantly reduced CXCL8 expression and inhibited the NOD-like receptor signaling pathway in Hela cells compared with the control group (p<0.01). Therefore, this study manifested that cryptotanshinone potentially played an important role in obesity-related cervical cancer. This study provided the important experimental basis for further exploring the pathogenesis and prevention of obesity-related cervical cancer."
39921142,"Oral cancer is a malignant tumor, and the associated death rate has significantly increased over the past few decades. Secreted fractions are involved in various physiological processes, and their analysis has become a promising approach for discovering diagnostic and prognostic biomarkers for cancer detection and monitoring metastasis. Therefore, the discovery of potential prognostic, diagnostic, and therapeutic biomarkers for oral cancer metastasis is beneficial for developing effective strategies in oral cancer therapy. In this study, we used secretomic analysis to identify the secreted proteins involved in oral cancer. One of the identified proteins, peptidylprolyl isomerase A (PPIA), was selected for further investigation. We used RNA interference to investigate the effect of PPIA secretion on invasion and migration of OC3-I5 cells. Our results showed that reducing the expression and secretion of PPIA significantly decreased invasion and migration of OC3-I5 cells. Next, we used recombinant PPIA to investigate its direct effect on OC3 cell metastasis. The results revealed that proliferation, migration, and invasion of OC3 cells were significantly increased by treatment with the recombinant PPIA. Immunohistochemical analyses revealed higher PPIA expression in tumor tissues compared to normal tissues. Concisely, PPIA activated the ERK1/2 and p38 MAPK signaling pathways and enhanced cell proliferation and metastasis through CD147. In summary, PPIA may prove to be a novel target for oral cancer therapy as well as a prognostic marker."
39921114,"The initial microbial colonization of the gut is seeded by microbes transmitted from the mother's gut, skin, and vaginal tract. As the gut microbiome evolves, a few transmitted microbes persist throughout life. Understanding the impact of mother-to-neonate gut microbiome and antibiotic resistance genes (ARGs) transmission is crucial for establishing its role in infants' immunity against pathogens. This study primarily explores mother-neonate ARG transmission through 125 publicly available fecal metagenomes, isolated from eighteen mother-neonate pairs. The core ARGs, detected in both mothers and their respective infants at all stages (birth, 1st, 2nd, 3rd, 4th, 8th and 12th months) included aminoglycosidases APH(3')-IIIa, Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin, β-lactamases CblA-1, CfxA2, multi-drug resistance gene CRP, diaminopyrimidine resistance gene dfrF, fluoroquinolone-resistance gene emrR, macrolide; lincosamide; streptogramin resistance gene ErmB, ErmG, macrolide resistance gene Mef(En2), nucleosidase SAT-4, and tetracycline-resistance genes tet(O), tet(Q), and tet(W). Most of these infants and mothers were not administered any antibiotics. In infants, ARGs were predominantly carried by Bacillota, Pseudomonadota, and Actinomycetota, similar to the mothers. The dominant ARG-carrying opportunistic pathogens were Escherichia coli, Klebsiella, and Streptococcus, found across all infant cohorts. All the core ARGs were associated with mobile genetic elements, signifying the role of horizontal gene transfer(HGT). We detected 132 virulence determinants, mostly Escherichia coli-specific, including pilus chaperones, general secretion pathway proteins, type III secretion system effectors, and heme-binding proteins. Maternal-neonate transmission of ARGs along with possible nosocomial infections, mode of delivery, breastfeeding versus formula feeding, and gestation period, must be considered for mother-neonate health."
