PMID,Abstract,Processed_abstract
39920888,The aim of this study was to determine the diagnostic accuracy of the faecal immunochemical test (FIT) for colorectal cancer (CRC) in symptomatic patients with different levels of anaemia severity or the presence of iron deficiency.,aim study determine diagnostic accuracy faecal immunochemical test fit colorectal cancer crc symptomatic patient different level anaemia severity presence iron deficiency .
39920741,Colorectal cancer (CRC) ranks among the frequently occurring malignant neoplasms affecting the gastrointestinal tract. This study aimed to explore JAK-STAT signaling pathway related genes in CRC and establish a new prognostic model.,colorectal cancer crc rank among frequently occurring malignant neoplasm affecting gastrointestinal tract . study aimed explore jak-stat signaling pathway related gene crc establish new prognostic model .
39920596,The aim of the study was to explore long-term experiences of transanal irrigation (TAI) in patients with major low anterior resection syndrome (LARS).,aim study explore long-term experience transanal irrigation tai patient major low anterior resection syndrome lars .
39920559,Cost-effectiveness analysis (CEA) of biomarkers is challenging due to the indirect impact on health outcomes and the lack of sufficient fit-for-purpose data. Hands-on guidance is lacking.,cost-effectiveness analysis cea biomarkers challenging due indirect impact health outcome lack sufficient fit-for-purpose data . hands-on guidance lacking .
39920526,"The high occurrence and death rates of colorectal cancer (CRC) make it a major health concern. Recent studies have identified NOP2/Sun RNA methyltransferase family member 2 (NSUN2), an RNA methyltransferase, as a key regulator in various tumor types. However, how exactly NSUN2-mediated m5C alteration affects CRC is still a mystery. This study seeks to understand how NSUN2 contributes to the growth and death of colorectal cancer cells. New tissue samples were taken in order to investigate NSUN2 expression in CRC. In vitro tests were performed to evaluate NSUN2's function. We used m5C-methylated-RNA immunoprecipitation and RNA stability experiments to find out how NSUN2 works on Solute carrier family 7 member 11 (SLC7A11, also called xCT). Downregulation of NSUN2 limits CRC cell growth and induces ferroptosis, as we show that NSUN2 was substantially expressed in CRC. In terms of the molecular mechanism, NSUN2 controls the translation and stability of SLC7A11 mRNA by regulating its m5C methylation. Functional tests show that SLC7A11 compensates for the NSUN2 knockdown-induced decrease in cell proliferation. Additionally, SLC7A11 overexpression restores ferroptosis to CRC cells after NSUN2 knockdown. These findings emphasize NSUN2's crucial role in modulating colorectal cancer cell growth and survival via SLC7A11, pointing to promising new therapeutic targets.","high occurrence death rate colorectal cancer crc make major health concern . recent study identified nop2/sun rna methyltransferase family member 2 nsun2 , rna methyltransferase , key regulator various tumor type . however , exactly nsun2-mediated m5c alteration affect crc still mystery . study seek understand nsun2 contributes growth death colorectal cancer cell . new tissue sample taken order investigate nsun2 expression crc . vitro test performed evaluate nsun2s function . used m5c-methylated-rna immunoprecipitation rna stability experiment find nsun2 work solute carrier family 7 member 11 slc7a11 , also called xct . downregulation nsun2 limit crc cell growth induces ferroptosis , show nsun2 substantially expressed crc . term molecular mechanism , nsun2 control translation stability slc7a11 mrna regulating m5c methylation . functional test show slc7a11 compensates nsun2 knockdown-induced decrease cell proliferation . additionally , slc7a11 overexpression restores ferroptosis crc cell nsun2 knockdown . finding emphasize nsun2s crucial role modulating colorectal cancer cell growth survival via slc7a11 , pointing promising new therapeutic target ."
39920524,"We aimed to create a NK cell marker genes-based signature to predict immunotherapy response and prognosis in colorectal cancer. We integrated scRNA-seq data from four Gene Expression Omnibus (GEO) samples and performed Weighted gene correlation network analysis (WGCNA) based on 587 the Cancer Genome Atlas (TCGA) colorectal cancer samples to uncover NK cell-related genes. We identified 1080 NK cell-related core genes and 276 NK cell-related feature genes based on WGCNA and clustering and annotation of scRNA-seq data, respectively. Six key NK cell-related prognostic signature genes were obtained by univariate and LASSO regression analyses, including ADAM8, CTSD, CCL4, IL2RB, TTC38, and PLEK. Two validation cohorts from the GEO dataset, comprising 124 and 201 samples respectively, were used. The signature was significantly associated with overall survival and correlated with immune cell infiltration, immune and stromal scores, and immune checkpoint genes. Furthermore, the signature was associated with the homologous recombination deficiency (HRD) and T-cell receptor (TCR) scores. In conclusion, our study proposes a new prognostic signature based on NK cell marker genes, which may serve as a potential tool to predict overall survival and immunotherapy response for CRC patients.","aimed create nk cell marker genes-based signature predict immunotherapy response prognosis colorectal cancer . integrated scrna-seq data four gene expression omnibus geo sample performed weighted gene correlation network analysis wgcna based 587 cancer genome atlas tcga colorectal cancer sample uncover nk cell-related gene . identified 1080 nk cell-related core gene 276 nk cell-related feature gene based wgcna clustering annotation scrna-seq data , respectively . six key nk cell-related prognostic signature gene obtained univariate lasso regression analysis , including adam8 , ctsd , ccl4 , il2rb , ttc38 , plek . two validation cohort geo dataset , comprising 124 201 sample respectively , used . signature significantly associated overall survival correlated immune cell infiltration , immune stromal score , immune checkpoint gene . furthermore , signature associated homologous recombination deficiency hrd t-cell receptor tcr score . conclusion , study proposes new prognostic signature based nk cell marker gene , may serve potential tool predict overall survival immunotherapy response crc patient ."
39920491,"Germline pathogenic variants of the RPS20 (ribosomal protein S20) gene are suspected to be involved in the predisposition to familial colorectal cancer (CRC) with no DNA mismatch repair deficiency. RPS20 pathogenic variants are very rare with only five reported cases in the literature. We report in this work the retrospective germline analysis of RPS20 for 1035 consecutive patients with a personal and/or familial history suggestive of hereditary predisposition to CRC. Within this series, a pathogenic variant in known CRC genes was found in 15% of cases and we describe one RPS20 loss-of-function variant (NM_001146227.1:c.115_116del, p.(Leu39Aspfs*33)). This frameshift is the first reported de novo variant in CRC, it was identified in in a female patient diagnosed with rectal cancer at the age of 35, 11 adenomatous polyps in 5 years and breast cancer at the age of 43. RPS20 has an intriguing role in oncogenesis, acting as an oncogene or tumour suppressor depending on the context, and is also involved in Diamond-Blackfan anemia via gain of function or dominant negative variants. This is therefore a complex gene for genetic counselling and, given the rarity of RPS20 pathogenic variants, we emphasise the need to collect data to clarify the phenotypic spectrum of RPS20-associated cancers and thus improve management.","germline pathogenic variant rps20 ribosomal protein s20 gene suspected involved predisposition familial colorectal cancer crc dna mismatch repair deficiency . rps20 pathogenic variant rare five reported case literature . report work retrospective germline analysis rps20 1035 consecutive patient personal and/or familial history suggestive hereditary predisposition crc . within series , pathogenic variant known crc gene found 15 % case describe one rps20 loss-of-function variant nm001146227.1c.115116del , p.leu39aspfs33 . frameshift first reported de novo variant crc , identified female patient diagnosed rectal cancer age 35 , 11 adenomatous polyp 5 year breast cancer age 43. rps20 intriguing role oncogenesis , acting oncogene tumour suppressor depending context , also involved diamond-blackfan anemia via gain function dominant negative variant . therefore complex gene genetic counselling , given rarity rps20 pathogenic variant , emphasise need collect data clarify phenotypic spectrum rps20-associated cancer thus improve management ."
39920335,"Cancer driver mutations are defined by their high prevalence in cancers and presumed rarity in normal tissues. However, recent studies show that positive selection in normal epithelia can increase the prevalence of some cancer drivers. To determine their true cancer-driving potential, it is essential to evaluate how frequent these mutations are in normal tissues and what are their phenotypes. Here, we explore the bioavailability of somatic variants by quantifying age-related mutational burdens in normal human colonic epithelium using immunodetection in FFPE samples (N = 181 patients). Positive selection of variants of tumour suppressor genes PTEN and ARID1A associates with monoallelic gene loss as confirmed by CRISPR/Cas9 mutagenesis and changes in their downstream effectors. Comparison of the mutational burden in normal tissue and colorectal cancers allows quantification of cancer driver potency based on relative representation. Additionally, immune exclusion, a cancer hallmark feature, is observed within ARID1A-deficient clones in histologically normal tissue. The behaviour resulting from haploinsufficiency of PTEN and ARID1A demonstrates how somatic mosaicism of tumour suppressors arises and can predispose to cancer initiation.","cancer driver mutation defined high prevalence cancer presumed rarity normal tissue . however , recent study show positive selection normal epithelium increase prevalence cancer driver . determine true cancer-driving potential , essential evaluate frequent mutation normal tissue phenotype . , explore bioavailability somatic variant quantifying age-related mutational burden normal human colonic epithelium using immunodetection ffpe sample n = 181 patient . positive selection variant tumour suppressor gene pten arid1a associate monoallelic gene loss confirmed crispr/cas9 mutagenesis change downstream effector . comparison mutational burden normal tissue colorectal cancer allows quantification cancer driver potency based relative representation . additionally , immune exclusion , cancer hallmark feature , observed within arid1a-deficient clone histologically normal tissue . behaviour resulting haploinsufficiency pten arid1a demonstrates somatic mosaicism tumour suppressor arises predispose cancer initiation ."
39921843,"Influenza A virus (IAV) remains a significant public health concern due to its annual epidemics and potential for global pandemics. Despite the availability of countermeasures such as vaccines and antiviral treatments, their effectiveness is often questioned due to the emergence of novel strains with antiviral resistance and the variable efficacy of influenza vaccines compared to other vaccines. Traditionally, influenza vaccination strategies have focused on matrix, neuraminidase, and nucleoproteins. In this study, considering the crucial roles of HA and RdRp (PA, PB1, and PB2) of Influenza A, a reverse vaccinology approach is put forth in designing a possible promising antigenic protein toward the development of vaccines against H1N1 viruses. With the development of immunoinformatics approach, one can design/construct potential candidates for vaccine formulation against IAV with the epitope segments identified based on B- and T-cell recognition linked via adjuvants like EAAAK, GPGPG, and AAY linkers. Computational assessments of physicochemical properties, antigenicity, immunogenicity, allergenicity, and toxicity predictions, conducted to evaluate the potential of designed vaccine construct, indicated high antigenicity and potential interactions with immune receptors. Molecular docking of the vaccine construct with human immune receptors (MHCI, MHCII, TLR4, TLR7, and TLR8) followed by molecular dynamics simulations demonstrated stable dynamics with strong binding affinity. The computational immune response modeling with multiple dosages suggested significant immune activation by this construct against IAV. In essence, these findings highlight the potential immune property of the vaccine construct, and put forth the need of thorough preclinical assessments in transforming this construct as a vaccine against the challenging IAV pathogens.","influenza virus iav remains significant public health concern due annual epidemic potential global pandemic . despite availability countermeasure vaccine antiviral treatment , effectiveness often questioned due emergence novel strain antiviral resistance variable efficacy influenza vaccine compared vaccine . traditionally , influenza vaccination strategy focused matrix , neuraminidase , nucleoprotein . study , considering crucial role ha rdrp pa , pb1 , pb2 influenza , reverse vaccinology approach put forth designing possible promising antigenic protein toward development vaccine h1n1 virus . development immunoinformatics approach , one design/construct potential candidate vaccine formulation iav epitope segment identified based b- t-cell recognition linked via adjuvant like eaaak , gpgpg , aay linkers . computational assessment physicochemical property , antigenicity , immunogenicity , allergenicity , toxicity prediction , conducted evaluate potential designed vaccine construct , indicated high antigenicity potential interaction immune receptor . molecular docking vaccine construct human immune receptor mhci , mhcii , tlr4 , tlr7 , tlr8 followed molecular dynamic simulation demonstrated stable dynamic strong binding affinity . computational immune response modeling multiple dosage suggested significant immune activation construct iav . essence , finding highlight potential immune property vaccine construct , put forth need thorough preclinical assessment transforming construct vaccine challenging iav pathogen ."
39921763,"Neuroinflammation and abnormal energy metabolism have been shown to significantly contribute to the progression of Alzheimer's disease (AD). Adenylate kinase 5 (AK5), an enzyme predominantly expressed in the brain regulates ATP metabolism, has an unclear role in energy metabolism and neuroinflammation in AD.","neuroinflammation abnormal energy metabolism shown significantly contribute progression alzheimers disease ad . adenylate kinase 5 ak5 , enzyme predominantly expressed brain regulates atp metabolism , unclear role energy metabolism neuroinflammation ad ."
39921750,"Congenital mesoblastic nephromas (CMN) are histologically classified into classical, cellular, and mixed subtypes. Most cellular CMNs harbor ETV6-NTRK3 gene fusions, and classic and mixed CMNs harbor EGFR internal tandem duplications (EGFR-ITDs). Classic CMNs are considered benign, whereas recurrent or metastatic diseases occur in the cellular subtypes. Direct identification of mutations is desirable for an accurate diagnosis. However, molecular genetic analyses cannot be performed in a number of histopathology laboratories. This study aimed to investigate a surrogate marker for the accurate histological classification of CMN.","congenital mesoblastic nephromas cmn histologically classified classical , cellular , mixed subtypes . cellular cmns harbor etv6-ntrk3 gene fusion , classic mixed cmns harbor egfr internal tandem duplication egfr-itds . classic cmns considered benign , whereas recurrent metastatic disease occur cellular subtypes . direct identification mutation desirable accurate diagnosis . however , molecular genetic analysis performed number histopathology laboratory . study aimed investigate surrogate marker accurate histological classification cmn ."
39921733,"Protodioscin (PRO) is a furostanol saponin with antioxidant and anti-inflammatory properties. However, there is no proof against nociception and diarrhea. The study aims to investigate the antinociceptive and antidiarrheal effects of PRO, comparing its efficacy with diclofenac sodium (DFS) and loperamide (LOP) using in vivo and in silico methods. Antinociceptive activity was evaluated using the acetic acid-induced writhing and formalin-induced paw licking tests, and antidiarrheal effects were assessed via castor oil-induced diarrhea in mice. Mice were divided into groups receiving PRO (2.5 and 10 mg/kg, p.o.), DFS (25 mg/kg, p.o.), LOP (3 mg/kg, p.o.), or combinations. Molecular docking studies were conducted on COX-1, COX-2 enzymes, and the Mu-opioid receptor (MOR), with toxicity predictions performed for safety profiling. In vivo results demonstrated that PRO significantly (p < 0.05) reduced pain and diarrhea in animals. PRO at 10 mg/kg, showed comparable efficacy to DFS and LOP (25 and 3 mg/kg) in both models. Molecular docking revealed that PRO had stronger binding affinities with COX-1 (‒10.0 kcal/mol), COX-2 (‒9.6 kcal/mol) enzymes, and MOR (‒7.7 kcal/mol) compared to standard drugs. Toxicity predictions indicate PRO is relatively safe in some toxicity parameters. PRO exhibits significant antinociceptive and antidiarrheal activities comparable to DFS and LOP, making it a promising natural alternative for managing pain and diarrhea. Additional clinical trials and pharmacokinetic assessments are required to evaluate its long-term safety for use.","protodioscin pro furostanol saponin antioxidant anti-inflammatory property . however , proof nociception diarrhea . study aim investigate antinociceptive antidiarrheal effect pro , comparing efficacy diclofenac sodium dfs loperamide lop using vivo silico method . antinociceptive activity evaluated using acetic acid-induced writhing formalin-induced paw licking test , antidiarrheal effect assessed via castor oil-induced diarrhea mouse . mouse divided group receiving pro 2.5 10 mg/kg , p.o. , dfs 25 mg/kg , p.o. , lop 3 mg/kg , p.o. , combination . molecular docking study conducted cox-1 , cox-2 enzyme , mu-opioid receptor mor , toxicity prediction performed safety profiling . vivo result demonstrated pro significantly p < 0.05 reduced pain diarrhea animal . pro 10 mg/kg , showed comparable efficacy dfs lop 25 3 mg/kg model . molecular docking revealed pro stronger binding affinity cox-1 10.0 kcal/mol , cox-2 9.6 kcal/mol enzyme , mor 7.7 kcal/mol compared standard drug . toxicity prediction indicate pro relatively safe toxicity parameter . pro exhibit significant antinociceptive antidiarrheal activity comparable dfs lop , making promising natural alternative managing pain diarrhea . additional clinical trial pharmacokinetic assessment required evaluate long-term safety use ."
